#OTU ID	Cd11	Cd21	CG11	CG21	Cr11	Cr21	Cu11	Cu21	oh11	oh21	PAP11	PAP21	PNP11	PNP21	Seed
ASV_272	1	0	69	31	0	0	0	0	57	162	0	0	0	0	10
ASV_44	2	0	29	94	72	2	0	0	1712	4653	0	0	159	18	0
ASV_458	3	0	7	4	0	0	0	0	2	0	4	5	3	0	85
ASV_41	2	0	383	44	0	0	0	0	2071	319	0	0	1024	333	4882
ASV_125	7	6	0	5	21	1350	4	0	0	8	0	0	3	161	34
ASV_172	7	2	0	1	3	14	2	0	1	0	2	689	7	0	0
ASV_857	1	0	0	0	0	0	0	0	1	0	0	0	0	0	23
ASV_135	6	1100	1	0	2	0	0	0	5	1	1	3	3	0	128
ASV_675	5	0	0	0	1	2	0	0	0	0	0	42	2	0	0
ASV_349	5	0	14	31	5	0	0	0	31	19	2	0	7	0	75
ASV_267	7	5	12	14	22	17	134	61	11	18	11	8	8	9	14
ASV_279	5	0	53	0	0	0	0	0	98	2	0	0	0	0	145
ASV_154	1	0	0	0	0	0	0	0	0	0	0	1	0	0	964
ASV_366	2	0	11	23	5	1	0	0	75	70	3	2	13	0	138
ASV_444	4	0	45	9	5	3	2	0	33	16	0	0	7	35	10
ASV_410	7	0	0	0	0	0	0	0	3	0	2	1	6	0	123
ASV_648	1	1	1	0	0	5	0	0	0	4	0	0	1	40	0
ASV_428	4	0	17	3	0	0	0	0	54	5	0	0	22	1	23
ASV_39	5	1	278	114	1750	4715	0	0	363	283	0	0	0	1	83
ASV_264	4	5	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_549	1	0	3	4	0	0	0	0	37	11	0	0	5	0	17
ASV_583	3	0	2	0	15	63	0	0	2	3	0	0	0	0	31
ASV_378	2	0	21	1	1	0	0	0	4	4	2	1	1	0	115
ASV_664	7	0	3	0	0	0	0	0	31	0	0	0	0	0	2
ASV_9	2	0	1	0	0	0	0	0	181	4	25777	3533	999	584	1
ASV_25	3	3	27	1543	26	458	0	0	7	272	0	0	123	7295	21
ASV_106	1	3	201	1222	10	147	0	0	3	63	0	1	113	591	9
ASV_123	1	0	53	0	0	0	0	0	34	2	1	0	1	0	1258
ASV_1144	8	2	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_697	1	4	7	0	0	0	0	0	3	1	0	3	5	2	21
ASV_680	1	0	0	1	0	0	0	0	2	0	40	3	0	0	0
ASV_1035	5	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_104	2	0	1	0	1	0	0	0	5	0	0	0	2	0	1547
ASV_169	10	4	1	4	0	0	0	0	0	0	255	668	0	0	0
ASV_607	1	0	1	0	0	0	0	0	11	0	0	0	2	0	58
ASV_685	1	0	0	0	0	0	0	0	1	0	3	0	0	0	44
ASV_635	2	0	28	0	1	0	0	0	16	0	0	0	0	0	0
ASV_504	3	4	0	0	2	9	0	0	0	0	8	57	0	0	3
ASV_1014	1	0	0	0	0	1	0	0	0	0	0	0	5	0	9
ASV_1108	2	0	1	0	0	0	0	0	0	0	0	0	0	0	8
ASV_362	3	0	13	0	2	0	0	0	15	0	0	0	1	0	150
ASV_244	1	0	79	102	0	0	0	0	37	227	0	0	0	0	0
ASV_419	3	8	1	8	4	15	0	0	0	78	0	0	1	11	2
ASV_215	4	2	3	2	0	0	0	0	0	0	0	0	0	0	4
ASV_1098	3	9	0	0	0	1	0	0	0	0	0	0	0	31	0
ASV_524	1	0	0	0	5	0	0	0	0	0	0	0	1	0	73
ASV_672	3	1	2	3	0	0	0	0	7	3	0	0	6	14	6
ASV_162	1	2	205	81	2	0	0	0	180	376	0	0	0	0	34
ASV_683	1	1	3	51	0	0	0	0	0	1	0	0	0	0	0
ASV_345	2	1	17	1	0	0	0	0	58	23	0	0	1	0	89
ASV_704	2	5	0	1	0	1	0	0	0	0	0	31	0	0	4
ASV_491	2	0	0	0	0	0	0	0	0	1	1	0	0	0	121
ASV_1148	1	0	0	0	0	0	0	0	1	0	0	0	0	0	10
ASV_782	3	1	41	32	0	4	0	0	3	9	0	0	4	1	5
ASV_449	2	0	17	0	0	0	0	0	48	0	0	0	0	0	51
ASV_357	1	0	54	20	33	5	0	0	20	15	0	0	0	2	36
ASV_155	1	308	0	0	349	282	0	0	0	0	1	0	0	0	6
ASV_324	1	2	4	1	0	0	0	0	0	0	0	0	0	0	1
ASV_1075	2	0	0	4	0	1	0	0	0	0	0	3	0	0	1
ASV_492	4	2	6	4	3	0	0	0	13	8	1	0	5	0	60
ASV_801	2	0	0	0	0	0	0	0	0	0	0	0	24	2	0
ASV_77	1	0	1	0	0	0	0	0	297	3	0	2	0	0	2211
ASV_103	3	1593	0	5	2	1	0	0	4	1	0	2	0	2	1
ASV_763	2	0	0	2	0	0	0	0	5	4	0	0	3	1	11
ASV_1088	1	6	3	9	1	0	0	0	1	7	0	0	0	0	2
ASV_88	5	0	275	83	0	0	0	0	350	154	1	60	845	68	207
ASV_194	5	1	36	0	499	440	234	0	19	6	0	0	1	5	48
ASV_209	1	0	0	0	3	0	0	0	22	0	0	0	1	0	525
ASV_754	2	0	0	1	0	1	0	0	5	4	2	0	4	0	10
ASV_563	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_876	1	0	1	0	0	0	0	0	2	4	0	0	4	1	10
ASV_160	1	0	235	31	0	0	0	0	191	99	0	0	248	14	51
ASV_298	2	0	15	37	0	0	0	0	70	36	0	3	0	0	92
ASV_691	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_130	2	0	0	0	0	0	536	1007	0	1	0	0	0	0	0
ASV_487	1	0	0	0	0	0	0	0	0	0	0	1	0	0	93
ASV_263	3	1	37	8	4	0	0	0	328	8	0	0	0	21	0
ASV_842	2	5	5	11	0	0	0	0	1	0	0	0	0	0	1
ASV_739	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_79	1	0	3	24	2	2248	2	0	1	2	3	1	0	0	0
ASV_936	1	0	0	0	1	0	0	0	0	0	0	0	1	0	14
ASV_200	1	0	0	0	2	0	0	0	0	0	0	0	614	260	2
ASV_251	1	0	8	3	0	0	0	0	8	0	0	0	137	346	35
