category	heavy_metal	heavy_metal	heavy_metal	organic	organic	organic
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Kineosporiales|f_Kineosporiaceae	    0	    0	   97	   0	    0	   1
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Cellulomonadaceae|g_Actinotalea|s_midas_s_31096	    0	    0	    0	   0	    0	   1
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Dermatophilaceae|g_midas_g_739|s_midas_s_8771	    0	    0	    0	   0	    0	   6
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae	    0	    4	    0	   0	    0	2233
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leifsonia	    0	    1	    0	   0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leucobacter	    0	    0	    0	   0	    0	  28
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Propionibacteriales|f_Nocardioidaceae|g_Nocardioides	    0	    0	    0	   0	    0	 230
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Propioniciclava	    0	    0	    0	   0	    0	  17
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Propioniciclava|s_midas_s_22998	    0	    0	    0	   0	    0	 268
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Propioniciclava|s_midas_s_84715	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Pseudonocardiales|f_Pseudonocardiaceae|g_Pseudonocardia|s_midas_s_35701	    0	    0	    0	   0	    0	  34
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_midas_o_5|f_midas_f_5|g_midas_g_957|s_midas_s_51625	    0	    0	    0	   0	    0	  15
k_Bacteria|p_Actinobacteriota|c_Coriobacteriia	    1	    1	    0	   0	    0	   1
k_Bacteria|p_Actinobacteriota|c_Thermoleophilia|o_Gaiellales|f_midas_f_269|g_midas_g_7904|s_midas_s_36787	    0	    0	    0	   0	    0	   7
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae	    0	    0	    0	   0	    0	  41
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_13884	    0	    0	    0	  22	    0	 382
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_19225|s_midas_s_45938	    0	    0	    0	   0	    0	   7
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_1936|s_midas_s_4999	    0	    0	    0	   0	    0	   1
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_19477|s_midas_s_35379	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_23693|s_midas_s_23693	    0	    0	    0	   0	    0	   1
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_2591	    0	    0	    0	   0	    0	   1
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_2591|s_midas_s_39374	    0	    0	    0	   0	    0	  24
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_26419|s_midas_s_26419	    0	    0	    0	   0	    0	   7
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_30374|s_midas_s_79801	    0	    0	    0	   0	    0	  15
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_32338|s_midas_s_39871	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_37483|s_midas_s_37483	    0	    0	    0	   0	    0	   3
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_4488|s_midas_s_4488	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_45752|s_midas_s_45752	    0	    0	    0	   1	    0	  85
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_45752|s_midas_s_55473	    0	    0	    0	   0	    0	  82
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_46816|s_midas_s_46816	    0	    0	    0	   1	    0	  15
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_46820|s_midas_s_46820	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_5022	    0	    0	    0	   3	    0	 250
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_50541|s_midas_s_50541	    0	    0	    0	   0	    0	 276
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_57422|s_midas_s_64391	    0	    0	    0	   0	    0	   8
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_8938|s_midas_s_8938	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_midas_f_1936|g_midas_g_5385|s_midas_s_5385	    0	    0	    0	 151	    0	   0
k_Bacteria|p_Armatimonadota|c_midas_c_216|o_midas_o_9505|f_midas_f_9505|g_midas_g_9505|s_midas_s_9505	    0	    0	    0	   0	    0	 375
k_Bacteria|p_Bacteroidota|c_Bacteroidia	    0	    0	    0	   0	  296	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Bacteroidetes_BD2-2|g_midas_g_9711|s_midas_s_9711	    0	    0	    0	 260	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella_9|s_Prevotella_copri	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella_9|s_midas_s_19231	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidetes_VC2.1_Bac22|f_midas_f_8637|g_midas_g_75972	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidetes_VC2.1_Bac22|f_midas_f_8637|g_midas_g_8637|s_midas_s_8637	    0	    0	    0	   1	    0	   5
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13	    0	    0	    0	  12	    0	   0
